Order: Swift Retreat,"**After this unit is attacked with melee:**
This unit may make a free Retreat action."
Order: Taunt,Order: when an enemy within short range declares a n attack or charge action: that enemy must select this unit as its target (if able).
Prey on Fear,"Each time an enemy engaged with this unit fails a Panic Test, this unit may restore up to 2 Wounds."
Pummeling Blows,"Defenders do not get defense saves against this attack. For each attack die roll of a 6, roll 1 additional die (this may repeat). When charging, the defender suffers 1 additional wound per remaining rank."
Raid Party,Free Folk Raider Units may only be added to armies in pairs. They cannot be fielded individually.
Rapid Assault,"If targeted by [HORSE], this unit may make a free Charge action instead of a Maneuver/Retreat action."
Rattleshirt,This unit can only be fielded whit rattleshirts in your army and attached to this unit.
Reinforcements,"Each time this unit activates, it may restore up to D3 Wounds. If you control [MONEY], restore 3 Wounds instead."
Rickon Stark,Can only be fielded if Rickon Stark is in your army
Rickon's Protector,"Each time Rickon Stark's unit is attacked, after that attack has been completed, Shaggydog may make 1 free attack or charge action targeting the attacker, and rolls (+2) dice."
Battle Prayer,"Each time this unit passes a Morale Test, it gains 1 **Faith token**. It may expend Faith tokens to do the following:
**•When this unit attacks, before Attack dice are rolled:**
This attack gains +1 to Hit and Sundering *(Defenders suffer -1 to their Defense Save rolls)*.
**•When this unit is attacked, after Attack dice are rolled:**
This unit gains +1 to Defense Save rolls for this attack."
Robb Stark,Can only be fielded if Robb Stark is in your army
Ruthless Savagery,"Each time this unit attacks, it may select 1 of the following bonuses:
• This attack gains +1 to Hit for each of the defender’s destroyed ranks.
• This attack gains Sundering *(Defenders suffer -1 to Defense Save rolls)*.
• This attack gains Vicious *(Defender suffers -2 to their Panic Test)*.
For each of the defender’s destroyed ranks, it may select 1 additional bonus."
Savage Mauling,Defenders do not get defense saves against this attack. Vicious
Set Defense,"Enemies do not get Charge, Flank or Rear Bonuses against this unit."
Silent Predator,"When this attack is selected, enemies may not play Tactics cards for the rest of the turn. Enemies do not get Defense Saves against this attack."
Spiked Mace,"If this attack targets an enemy that has not activated this round, that enemy becomes Vulnerable."
Spread Fear,"Each time an enemy engaged with this unit fails a Panic Test, 1 other enemy within Long Range of that unit becomes Panicked."
Stalking Assault,"If attacking an enemy in the Flank or Rear, that enemy becomes Vulnerable."
Stark Fury,"Before rolling dice, this attack may gain +1 to Hit and Critical Blow *(Rolls of 6 deal 2 Hits)*. If it does, after this attack has been completed, unless this unit only has 1 remaining rank, it suffers D3 Wounds."
Stone Thrower,"Unlimited Range. Ignores Intervening units and terrain. May only be used once per round, and may not target solo enemies or enemies within long range. Enemies successfully hit by this attack do not roll defense saves and instead suffer D6 wounds, +1 additional wound for each of their remaining ranks. "
Sundering,*(Defenders suffer -1 to their Defense Save rolls.)*
Swift Strike,"After this attack is completed, this unit may make a free Retreat action if engaged."
The Mountain That Rides,"This model has 4 Wounds.
At the start of this model’s activation, it may make a free Maneuver action."
Tracker’s Bow,"• Long Range
• If the defender rolls 1 on any Defense Saves, they become Vulnerable."
Uninitiated,This unit cannot attach Vows.
Vicious,*(Defenders suffer -2 to their Panic Test).*
VOW,"Vow: if the targeted unit is Night's Watch, they may attach this card, discarding 1 other attached vow. That unit gains:"
War Flail,"• Critical Blow *(Rolls of 6 cause 2 Hits).*
• Vicious *(Defenders suffer -2 to their Panic Test).*"
War Machine,"• This model has 6 Wounds.
• This model never makes Morale Tests, cannot Charge or Retreat, and cannot gain Condition Tokens."
Wildfire (Melee),"• For each roll of 1, deal this unit and the defender 1 Wound.
• Defenders do not get Defense Saves against this attack.
• Vicious (*Defenders suffer -2 to their Panic Test*)."
Wildfire (Ranged),"• Short Range
• Defenders do not get Defense Saves against this attack.
• Vicious (*Defenders suffer -2 to their Panic Test*)."
Embolden,"While within Short Range of this unit, other friendly units gain +1 to Morale Test rolls."
Loyalty: Renly Baratheon,Your army may never include Units or Attachments with different Loyalties.
Loyalty: Stannis Baratheon,Your army may never include Units or Attachments with different Loyalties.
Unwavering Fury,"When this unit attacks, for each of its destroyed ranks, select 1 of the following bonuses:
• Critical Blow *(Rolls of 6 cause 2 Hits)*
• Sundering *(Defenders suffer -1 to their Defense Save rolls)*
• Vicious *(Defender suffers -2 to their Panic Test).*"
War Hammer,"• If the defender rolls a 1 on any Defense Saves, they become Weakened."
Target Opening,"When this unit attacks, it may expend Weakened tokens from the defender as if they were Vulnerable tokens."
Double Hammers,• Sundering *(Defenders suffer -1 to Defense Save rolls)*.
